uuid,title,author,abstract
10,The Economic Perspective of Food Poverty and (In)security: An Analytical Approach to Measuring and Estimation in Italy,"Stefano Marchetti,Luca Secondi,Stefano Marchetti,Luca Secondi","The UN Sustainable Development Goals have set clear targets on global poverty, hunger and malnutrition to be achieved by 2030, which have prompted academics and policymakers to identify useful strategies and drivers. Moreover, the COVID19 pandemic has exacerbated inequalities at national and sub-national levels thus hampering the achievement of these goals. On considering the multifaceted nature of poverty, a recent research strand focuses on food poverty and insecurity issues in terms of economic access to food and healthy diet consumption, with moderate and extreme food insecurity affecting almost 9% of the population in Europe and North America. This paper aims to analyse food poverty and insecurity at regional level in Italy. Using micro-data from the Italian Household Budget Survey carried out by ISTAT, an analytical approach was proposed to define and measure the different degree of food poverty and insecurity. Moreover, to obtain insights into whether food poverty and insecurity can afford population healthy nutrition, inequality of the distributions of food expenditure categories are estimated. The results provided us with information on other important aspects of the poverty. Indeed, in Italy individuals who are at-risk-of-food-poverty or food insecure amount to 22.3% of the entire population. Furthermore, the at-risk-of-food-poverty-rate varies at regional level from 14.6% (Umbria) to 29.6% (Abruzzo), with high levels of food consumption inequalities observed above all for vegetables, meat and fish. All these issues could help policy makers to define economic intervention policies aimed at reducing social exclusion and achieving more equitable and sustainable living conditions for the entire population."
11,Smart meter data-driven evaluation of operational demand response potential of residential air conditioning loads,"Qi, Ning; Cheng, Lin; Xu, Helin; Wu, Kuihua; Li, XuLiang; Wang, Yanshuo; Liu, Rui","Residential air conditioning loads (ACLs) are promising demand response (DR) resources with a certain flexibility and controllability that can enhance the operational flexibility and resource utilization of the power grid. The evaluation of DR potential is of great importance for estimating the power reduction, targeting appropriate DR customers, and obtaining constrained boundary for economic dispatch. To better reveal the multi-faceted factors and multi-uncertainties during DR, this paper present a novel definition and evaluation approach of operational DR potential from single customer to large-scale load centers. Aimed at resolving two main issues of evaluation: disaggregation of ACLs component and parameter estimation, an unsupervised load decomposition methodology considering load level difference and seasonal variation is proposed to disaggregate the whole-house energy consumption into ACLs and baseload components non-intrusively. Subsequently, based on the thermal dynamics model of ACLs, a segment analysis methodology is developed, including a constrained regression method for the static parameter estimation and a hybrid method for the dynamic parameter estimation. Data experiments based on ground truth data of residential customers in Austin, Texas, U.S., smart homes in Western Massachusetts and low voltage area in a developed city, Jiangsu province, China, validate the better performance of accuracy and robustness using the proposed methods. The proposed methods are further implemented to four application scenarios, including ACLs consumption behavior learning, operational DR potential analysis, customers targeting for different time-scale DR programs, and day ahead scheduling. These results also demonstrate that great difference in terms of ACLs usage patterns (a total of 19 patterns), DR potential (a maximum of 0.7 kW) results from different DR duration and operational conditions. The DR programs designers and load aggregators are suggested to consider the proposed 5 basic indicators to target customer and select participants in different DR scenarios. And the operational DR potential is more reliable and suitable to generate strategies for day ahead scheduling."
12,"Modelling environmental degradation in South Africa: the effects of energy consumption, democracy, and globalization using innovation accounting tests","Usman, Ojonugwa; Olanipekun, Ifedolapo O.; Iorember, Paul Terhemba; Abu-Goodman, Maryam","This study investigates the effects of energy consumption, democracy and globalization on environmental degradation in the context of the environmental Kuznets curve (EKC) for South Africa between 1971 and 2014. To this end, the study applies the combined Bayer-Hanck cointegration test and the fully modified ordinary least squares (FM-OLS) estimation approach. The empirical results confirm the presence of cointegration among the variables, and thus validate the EKC hypothesis for South Africa. In addition, while energy consumption increases environmental degradation, the effect of democracy is positively insignificant. The finding also suggests that globalization condenses environmental degradation. The results of the long-run causal relationship divulge that economic growth, energy consumption, democracy and globalization Granger-cause environmental degradation. The results also find causality running from CO2 emissions, economic growth, democracy and globalization to energy consumption. In the short run, a causality is found running from globalization to CO2 emissions, energy consumption to CO2 emissions and globalization to energy consumption. In addition, economic growth is said to Granger-cause democracy while democracy Granger-causes CO2 emissions. These results are validated by the innovation accounting tests."
13,Energy Management Strategy in Dynamic Distribution Network Reconfiguration Considering Renewable Energy Resources and Storage,"Azizivahed, Ali; Arefi, Ali; Ghavidel, Sahand; Shafie-khah, Miadreza; Li, Li; Zhang, Jiangfeng; Catalao, Joao P. S.","Penetration of renewable energy sources (RESs) and electrical energy storage (EES) systems in distribution systems is increasing, and it is crucial to investigate their impact on systems' operation scheme, reliability, and security. In this paper, expected energy not supplied (EENS) and voltage stability index (VSI) of distribution networks are investigated in dynamic balanced and unbalanced distribution network reconfiguration, including RESs and EES systems. Furthermore, due to the high investment cost of the EES systems, the number of charge and discharge is limited, and the state-of-health constraint is included in the underlying problem to prolong the lifetime of these facilities. The optimal charging/discharging scheme for EES systems and optimal distribution network topology are presented in order to optimize the operational costs, and reliability and security indices simultaneously. The proposed strategy is applied to a large-scale 119-bus distribution test network in order to show the economic justification of the proposed approach."
14,Axin2+ PDL Cells Directly Contribute to New Alveolar Bone Formation in Response to Orthodontic Tension Force,"K Wang,C Xu,X Xie,Y Jing,P J Chen,S Yadav,Z Wang,R W Taylor,J Wang,J Q Feng,K Wang,C Xu,X Xie,Y Jing,P J Chen,S Yadav,Z Wang,R W Taylor,J Wang,J Q Feng","Wnt-β-catenin signaling plays a key role in orthodontic tooth movement (OTM), a common clinical practice for malocclusion correction. However, its targeted periodontal ligament (PDL) progenitor cells remain largely unclear. In this study, we first showed a synchronized increase in Wnt-β-catenin levels and Axin2+ PDL progenitor cell numbers during OTM using immunostaining of β-catenin in wild-type mice and X-gal staining in the Axin2-LacZ knock-in line. Next, we demonstrated time-dependent increases in Axin2+ PDL progenitors and their progeny cell numbers within PDL and alveolar bones during OTM using a one-time tamoxifen-induced Axin2 tracing line (Axin2CreERT2/+; R26RtdTomato/+). Coimmunostaining images displayed both early and late bone markers (such as RUNX2 and DMP1) in the Axin2Lin PDL cells. Conversely, ablation of Axin2+ PDL cells via one-time tamoxifen-induced diphtheria toxin subunit A (DTA) led to a drastic decrease in osteogenic activity (as reflected by alkaline phosphatase) in PDL and alveolar bone. There was also a decrease in new bone mass and a significant reduction in the mineral apposition rate on both the control side (to a moderate degree) and the OTM side (to a severe degree). Thus, we conclude that the Axin2+ PDL cells (the Wnt-targeted key cells) are highly sensitive to orthodontic tension force and play a critical role in OTM-induced PDL expansion and alveolar bone formation. Future drug development targeting the Axin2+ PDL progenitor cells may accelerate alveolar bone formation during orthodontic treatment."
15,Research on the incorporation of untreated flue gas desulfurization gypsum into magnesium oxysulfate cement,"Gu, Kang; Chen, Bing","The growing concern of low-carbon economy and sustainable development has obliged the researchers to investigate green building materials through utilizing industrial by-products. In this study, the industrial waste material, flue gas desulfurization gypsum (FGDG), is incorporated into the magnesium oxysulfate cement (MOSC). The performance of FGDG-incorporated MOSC is evaluated by testing the setting time, compressive strength, density, water absorption, water resistance, volume stability and SO42- releasing. The hydration products are detected by X-ray diffraction, while microstructure is observed by optical microscope and scanning electron microscope. Increasing the proportion of FGDG retards the initial and final setting times of paste. Compressive strength for MOSC mixtures varies from 52.4 to 62.4 MPa at hydration age of 3 days. The water absorption and the release of SO42- increase when increasing the FGDG content. The FGDG-incorporated MOSC presents a superior water resistance and volume stability in contrast with the FGDG-free MOSC. The main hydration products of the paste are Mg(OH)(2) and 5 Mg(OH)(2)center dot MgSO4 center dot 7H(2)O (5.1.7) phase. The microstructure analysis is in agreement with the results of mechanical properties. Finally, the FGDG-incorporated MOSC is identified as a promising building material by the evaluation of economic and environmental sustainability. (C) 2020 Elsevier Ltd. All rights reserved."
16,Exploring indicators of circular economy adoption framework through a hybrid decision support approach,"Yadav, Gunjan; Mangla, Sachin Kumar; Bhattacharya, Arijit; Luthra, Sunil","Circular economy (CE) focuses on a circular approach to energy and material resources, which provides economic, environmental and social benefits for manufacturing organisations. CE adoption in emerging economies facilitates in substantial economic growth through appropriate utilisation of energy and material resources across manufacturing industries. This study identifies CE indicators in the context of an emerging economy. The study further develops a framework for the adoption of CE and tests it through a hybrid Best Worst Method and Decision-Making Trial and Evaluation Laboratory approach. The framework is validated through an Indian manufacturing case organisation. While Best Worst Method computes the CE related indicator weights, Decision-Making Trial and Evaluation Laboratory analyses the inter-relationship among indicators. Disparate CE related indicators, e.g. strategic, managerial, informational and technological, supply chain and organisational, influence the CE adoption in an emerging economy context. The findings reveal that the strategic and managerial indicators have the strongest influence on developing other indicators. The causal digraph and relationship diagram assist the practitioners in predicting the inter-relationship of indicators in CE adoption. The study outcomes will help the practitioners, policymakers and researchers to draw a framework for adoption of circular and green practices and usage of resources sustainably. (C) 2020 Elsevier Ltd. All rights reserved."
17,Artesunate induces substantial topological alterations in the SARS-CoV-2 Nsp1 protein structure,"Arun Bahadur Gurung,Mohammad Ajmal Ali,Joongku Lee,Mohammad Abul Farah,Khalid Mashay Al-Anazi,Fahad Al-Hemaid,Arun Bahadur Gurung,Mohammad Ajmal Ali,Joongku Lee,Mohammad Abul Farah,Khalid Mashay Al-Anazi,Fahad Al-Hemaid","The need for novel antiviral treatments for coronavirus disease 2019 (COVID-19) continues with the widespread infections and fatalities throughout the world. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the causative agent of the deadly disease, relies on the non-structural protein Nsp1 for multiplication within the host cells and disarms the host immune defences by various mechanisms. Herein, we investigated the potential of artemisinin and its derivatives as possible inhibitors of SARS-CoV-2 Nsp1 through various computational approaches. Molecular docking results show that artemisinin (CID68827) binds to Nsp1 with a binding energy of -6.53 kcal/mol and an inhibition constant of 16.43 µM. The top 3 derivatives Artesunate (CID6917864), Artemiside (CID53323323) and Artemisone (CID11531457) show binding energies of -7.92 kcal/mol, -7.46 kcal/mol and -7.36 kcal/mol respectively. Hydrophobic interactions and hydrogen bonding with Val10, Arg11, and Gln50 helped to stabilize the protein-ligand complexes. The pharmacokinetic properties of these molecules show acceptable properties. The geometric parameters derived from large-scale MD simulation studies provided insights into the changes in the structural topology of Nsp1 upon binding of Artesunate. Thus, the findings of our research highlight the importance of artemisinin and its derivatives in the development of drugs to inhibit SARS-CoV-2 Nsp1 protein."
18,Porous Ti3C2Tx MXene Membranes for Highly Efficient Salinity Gradient Energy Harvesting,"Seunghyun Hong,Jehad K El-Demellawi,Yongjiu Lei,Zhixiong Liu,Faisal Al Marzooqi,Hassan A Arafat,Husam N Alshareef,Seunghyun Hong,Jehad K El-Demellawi,Yongjiu Lei,Zhixiong Liu,Faisal Al Marzooqi,Hassan A Arafat,Husam N Alshareef","Extracting osmotic energy through nanoporous membranes is an efficient way to harvest renewable and sustainable energy using the salinity gradient between seawater and river water. Despite recent advances of nanopore-based membranes, which have revitalized the prospect of blue energy, their energy conversion is hampered by nanomembrane issues such as high internal resistance or low selectivity. Herein, we report a lamellar-structured membrane made of nanoporous Ti3C2Tx MXene sheets, exhibiting simultaneous enhancement in permeability and ion selectivity beyond their inherent trade-off. The perforated nanopores formed by facile H2SO4 oxidation of the sheets act as a network of cation channels that interconnects interplanar nanocapillaries throughout the lamellar membrane. The constructed internal nanopores lower the energy barrier for cation passage, thereby boosting the preferential ion diffusion across the membrane. A maximum output power density of the nanoporous Ti3C2Tx MXene membranes reaches up to 17.5 W·m-2 under a 100-fold KCl gradient at neutral pH and room temperature, which is as high as by 38% compared to that of the pristine membrane. The membrane design strategy employing the nanoporous two-dimensional sheets provides a promising approach for ion exchange, osmotic energy extraction, and other nanofluidic applications."
19,"A Novel, eco-friendly combined solar cooling and heating system, powered by hybrid Photovoltaic thermal (PVT) collector for domestic application","Zarei, Ahmad; Liravi, Mohammad; Rabiee, Marzie Babaie; Ghodrat, Maryam","Solar heating and cooling technologies can have a vital role to play in understanding the targets in energy security, economic development, and mitigating climate change. This study aimed to investigate the performance of the combined solar cooling/heating system using a Photovoltaic Thermal collector (PVT) for residential applications. The main advantage of using PVT is the conversion of the maximum amount of solar energy into electricity and thermal energy. In this work, water is used to cool the panel and, consequently, increase the efficiency. The cooling cycle comprises a hybrid ejector-compression refrigeration cycle with two evaporator temperatures. To reduce the effect of the global warming phenomenon, two different refrigerants with lower Global Warming Potential (GWP), such as R600a and R290, are used instead of R134a. The inlet water does not only gain heat from the PVT but also the collector output water is heated in a condenser and heater. The results indicate that increasing the water mass flow rate from 0.011 kg/s to 0.03 kg/s (39-108 Lit/h) at solar intensity (G) of 945 W/m(2) results in enhancing the overall efficiency of the PVT system from 66.7% to 75.8%. In terms of the highest Coefficient of performance (COP) and the lowest exergy destruction, R290 shows better performance comparing to the other refrigerants. In more details, using R290, instead of R134a, results in up to 7.5% enhancement in the COP of the cycle. The water mass flow rate is optimized at m(w)=0.013 kg/s to achieve the highest COP and the lowest exergy destruction. Also, it is reported that the temperature of the outlet water from the system varies between 31.72 degrees C to 46.73 degrees C during the day. Finally, it is revealed that using R290 for the refrigeration cycle and cooling the panel result in enhancing the COP of the cycle by 11.1%, increasing the temperature of the outlet water from the system by 9.17 degrees C and decreasing the refrigerant flow rate by 60.17%, in comparison with a system without panel cooling which uses R134a refrigerant."
20,"Host phenotype and microbiome vary with infection status, parasite genotype, and parasite microbiome composition","Megan A Hahn,Agnes Piecyk,Fátima Jorge,Robert Cerrato,Martin Kalbe,Nolwenn M Dheilly,Megan A Hahn,Agnes Piecyk,Fátima Jorge,Robert Cerrato,Martin Kalbe,Nolwenn M Dheilly","A growing literature demonstrates the impact of helminths on their host gut microbiome. We investigated whether the stickleback host microbiome depends on ecoevolutionary variables by testing the impact of exposure to the cestode parasite Schistocephalus solidus with respect to infection success, host genotype, parasite genotype, and parasite microbiome composition. We observed constitutive differences in the microbiome of sticklebacks of different origin, and those differences increased when sticklebacks exposed to the parasite resisted infection. In contrast, the microbiome of successfully infected sticklebacks varied with parasite genotype. More specifically, we revealed that the association between microbiome and immune gene expression increased in infected individuals and varied with parasite genotype. In addition, we showed that S. solidus hosts a complex endomicrobiome and that bacterial abundance in the parasite correlates with expression of host immune genes. Within this comprehensive analysis we demonstrated that (i) parasites contribute to modulating the host microbiome through both successful and unsuccessful infection, (ii) when infection is successful, the host microbiome varies with parasite genotype due to genotype-dependent variation in parasite immunomodulation, and (iii) the parasite-associated microbiome is distinct from its host and impacts the host immune response to infection."
21,"Systematic review on activity of liposomal encapsulated antioxidant, antibiotics, and antiviral agents","Reshna K R,Preetha Balakrishnan,Sreerag Gopi,Reshna K R,Preetha Balakrishnan,Sreerag Gopi","Reactive oxygen species (ROS) like superoxide anion, hydrogen peroxide, and hydroxyl radical, can be formed as normal products of aerobic metabolism. Overproduction or insufficient removal of ROS results in significant damage to cell structure and functions. Antioxidants applied directly and at relatively high concentrations to cellular systems are effective in protection against the damaging actions of ROS. Microorganisms including Gram-positive and negative bacteria, fungi, protozoa, algae, etc., can be disease causing microorganism. Antimicrobial agents have the capability to inhibitor destroy the microorganisms. The problems arising from the use of antioxidant and antimicrobial agents include poor solubility, instability during storage, low bioavailability, and difficulty to reach target organs with sufficient doses. Liposomal antimicrobial agent and liposomal antioxidants enhance the solubility, bioavailability, and stability of antimicrobial agent and antioxidants."
